"job title","company name","localisation","skills","job link"
"Python Backend Developer","Bydotpy -","New Cairo, Cairo, Egypt ",".css-1lh32fc{display:-webkit-box;display:-webkit-flex;display:-ms-flexbox;display:flex;margin-bottom:8px;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;-webkit-box-flex-wrap:wrap;-webkit-flex-wrap:wrap;-ms-flex-wrap:wrap;flex-wrap:wrap;}.css-n2jc4m{display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;-webkit-text-decoration:none;text-decoration:none;color:inherit;margin-bottom:4px;}.css-adtuo7{cursor:pointer;padding:0 4px;border-radius:4px;}.css-1ve4b75{font-size:12px;font-weight:600;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;min-height:20px;margin-right:4px;border-radius:2px;max-width:196px;white-space:nowrap;overflow:hidden;cursor:default;text-overflow:ellipsis;padding:2px 4px;background-color:#EBEDF0;color:#001433;cursor:pointer;padding:0 4px;border-radius:4px;}Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · .css-5x9pm1{-webkit-text-decoration:none;text-decoration:none;color:inherit;max-width:calc(100vw / 2 - 32px);white-space:nowrap;overflow:hidden;text-overflow:ellipsis;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;}Python · Django · Flask · RESTful API · Computer Science · Computer Engineering · Software Development · Information Technology (IT)","/jobs/p/A1z5DK0essUs-Python-Backend-Developer-Bydotpy-Cairo-Egypt?o=1&l=sp&t=sj&a=python|search-v3|hpb"
"Python Developer","OdooTec -","New Cairo, Cairo, Egypt ","Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · MVC · Information Technology (IT) · Computer Science · Python · Software Development · CSS · Design","/jobs/p/TEXsA8hxgzA7-Python-Developer-OdooTec-Cairo-Egypt?o=2&l=sp&t=sj&a=python|search-v3|hpb"
"Senior Python Engineer","El-Sewedy Electrometer -","6th of October, Giza, Egypt ","Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · MySQL · Linux · Information Technology (IT) · SQL · jQuery · Programming","/jobs/p/ohFtakW4EZWa-Senior-Python-Engineer-El-Sewedy-Electrometer-Giza-Egypt?o=4&l=sp&t=sj&a=python|search-v3|hpb"
"Senior Python Developer","Trufla -","Heliopolis, Cairo, Egypt ","Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · APIs · AWS · Computer Science · Git · Linux · Python · REST","/jobs/p/6Yzv3ZC4RcGO-Senior-Python-Developer-Trufla-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|hpb"
"Senior Python Developer","FlairsTech -","Maadi, Cairo, Egypt ","Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Applications · Computer Science · Design · Engineering · Implementation · Software Development · Information Technology (IT) · Mathematics","/jobs/p/X1RY331ukvMk-Senior-Python-Developer-FlairsTech-Cairo-Egypt?o=6&l=sp&t=sj&a=python|search-v3|hpb"
"Senior Python Developer","Houya Arrow -","Heliopolis, Cairo, Egypt ","Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · Development · Software · Software Development · SDLC · Web · Web Applications","/jobs/p/ybz0w5zmqwb1-Senior-Python-Developer-Houya-Arrow-Cairo-Egypt?o=7&l=sp&t=sj&a=python|search-v3|hpb"
"Senior Python Backend Developer","Tqniat Lab L.L.C -","Nasr City, Cairo, Egypt ","Full TimeWork From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Information Technology (IT) · Computer Science · Software Development · Django · Linux · NodeJS · MySQL","/jobs/p/1eIU4g1rGmID-Senior-Python-Backend-Developer-Tqniat-Lab-L-L-C-Cairo-Egypt?o=8&l=sp&t=sj&a=python|search-v3|hpb"
"Senior Full Stack Instructor (PHP - Python)","Confidential -","Cairo, Egypt ","Full TimeExperienced · 6 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Training/Instructor · PHP · PHP Development · PHP Web Development · Python · python development · CSS3 · HTML5","/jobs/p/iYqxXkiFejBm-Senior-Full-Stack-Instructor-PHP---Python-Cairo-Egypt?o=9&l=sp&t=sj&a=python|search-v3|hpb"
"Backend Engineer","Octo -","Maadi, Cairo, Egypt ","Full TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Node.js · Computer Science · Python · Java · RESTful · Information Technology (IT) · Design","/jobs/p/bxmBJw04oVXY-Backend-Engineer-Octo-Cairo-Egypt?o=11&l=sp&t=sj&a=python|search-v3|hpb"
"Senior Full Stack Developer","Dafater -","Nasr City, Cairo, Egypt ","Full TimeWork From HomeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Software · CSS · HTML · javaScript","/jobs/p/3irk407SkgH9-Senior-Full-Stack-Developer-Dafater-Cairo-Egypt?o=12&l=sp&t=sj&a=python|search-v3|hpb"
